date,steps
07/10/2020 08:30,29
07/10/2020 08:38,26
07/10/2020 08:55,10
07/10/2020 09:04,19
07/10/2020 09:06,22
07/10/2020 09:07,42
07/10/2020 09:08,8
07/10/2020 09:09,14
07/10/2020 09:18,15
07/10/2020 09:20,31
07/10/2020 09:21,59
07/10/2020 09:23,99
07/10/2020 09:24,107
07/10/2020 09:25,60
07/10/2020 09:26,15
07/10/2020 09:50,88
07/10/2020 09:51,84
07/10/2020 09:52,109
07/10/2020 09:53,113
07/10/2020 09:54,68
07/10/2020 09:55,113
07/10/2020 09:56,57
07/10/2020 09:57,34
07/10/2020 09:58,18
07/10/2020 10:00,18
07/10/2020 10:10,18
07/10/2020 10:14,18
07/10/2020 10:15,28
07/10/2020 10:16,121
07/10/2020 10:17,126
07/10/2020 10:18,20
07/10/2020 10:19,120
07/10/2020 10:20,116
07/10/2020 10:21,112
07/10/2020 10:22,114
07/10/2020 10:23,116
07/10/2020 10:24,90
07/10/2020 10:25,57
07/10/2020 10:26,110
07/10/2020 10:27,103
07/10/2020 10:28,30
07/10/2020 10:30,61
07/10/2020 10:31,39
07/10/2020 10:32,30
07/10/2020 10:33,32
07/10/2020 10:34,43
07/10/2020 10:36,30
07/10/2020 11:22,94
07/10/2020 11:23,96
07/10/2020 11:24,118
07/10/2020 11:25,103
07/10/2020 11:26,100
07/10/2020 11:27,100
07/10/2020 11:28,111
07/10/2020 11:29,107
07/10/2020 11:30,109
07/10/2020 11:31,58
07/10/2020 11:32,101
07/10/2020 11:33,108
07/10/2020 11:34,116
07/10/2020 11:35,107
07/10/2020 11:36,122
07/10/2020 11:37,124
07/10/2020 11:38,81
07/10/2020 11:39,38
07/10/2020 11:40,19
07/10/2020 11:41,46
07/10/2020 11:42,75
07/10/2020 11:43,32
07/10/2020 11:44,20
07/10/2020 11:45,86
07/10/2020 11:46,115
07/10/2020 11:47,107
07/10/2020 11:48,36
07/10/2020 11:49,21
07/10/2020 11:50,11
07/10/2020 12:01,24
07/10/2020 12:11,51
07/10/2020 12:29,15
07/10/2020 12:37,32
07/10/2020 15:55,10
07/10/2020 15:56,4
07/10/2020 16:45,11
07/10/2020 17:36,30
07/10/2020 18:01,11
07/10/2020 18:43,31
07/10/2020 18:47,18
07/10/2020 18:50,31
07/10/2020 18:51,14
07/10/2020 18:53,22
07/10/2020 18:55,30
07/10/2020 18:56,15
07/10/2020 18:58,27
07/10/2020 18:59,106
07/10/2020 19:00,92
07/10/2020 19:01,86
07/10/2020 19:02,99
07/10/2020 19:03,43
07/10/2020 19:04,54
07/10/2020 19:05,109
07/10/2020 19:06,29
07/10/2020 19:07,78
07/10/2020 19:08,100
07/10/2020 19:09,108
07/10/2020 19:10,97
07/10/2020 19:11,104
