county,county_code,state,rate
Wasatch,051,Utah,6.4
Caledonia,005,Vermont,5.8
Orleans,019,Vermont,7.9
Amelia,007,Virginia,5.8
Bath,017,Virginia,9.9
Buckingham,029,Virginia,7.4
Clarke,043,Virginia,4.5
Culpeper,047,Virginia,5
Floyd,063,Virginia,5.1
Goochland,075,Virginia,4.9
King William,101,Virginia,5.4
Lunenburg,111,Virginia,5.3
Madison,113,Virginia,3.8
Choctaw,023,Alabama,6.7
Clarke,025,Alabama,9
Cleburne,029,Alabama,4.6
Coffee,031,Alabama,4.4
Coosa,037,Alabama,5.5
Dallas,047,Alabama,10.7
Etowah,055,Alabama,7.7
Franklin,059,Alabama,4.4
Geneva,061,Alabama,4.1
Henry,067,Alabama,4.8
Jackson,071,Alabama,5.3
Lee,081,Alabama,5.2
Lowndes,085,Alabama,13.3
Macon,087,Alabama,9.6
Madison,089,Alabama,4.6
Washington,143,Arkansas,4.6
Woodruff,147,Arkansas,5.8
Alpine,003,California,11.2
Butte,007,California,9.2
Marion,093,Alabama,5.1
Marshall,095,Alabama,4.2
Mobile,097,Alabama,7.9
Montgomery,101,Alabama,7.8
Shelby,117,Alabama,3.9
Sumter,119,Alabama,7
Tuscaloosa,125,Alabama,6.6
Wilcox,131,Alabama,14.7
Bibb,007,Alabama,6.6
Bullock,011,Alabama,5.5
Calhoun,015,Alabama,7.1
Mendocino,045,California,8.9
Modoc,049,California,8.5
Mono,051,California,11.8
Nevada,057,California,8
Orange,059,California,8.8
Riverside,065,California,9.9
San Benito,069,California,9.9
San Diego,073,California,9.2
San Francisco,075,California,7.8
Yolo,113,California,7.5
Adams,001,Colorado,8
Archuleta,007,Colorado,7.6
Baca,009,Colorado,2.3
Chaffee,015,Colorado,6.3
Cheyenne,017,Colorado,2.4
Conejos,021,Colorado,5.6
Costilla,023,Colorado,7.2
Delta,029,Colorado,6.6
Eagle,037,Colorado,9.5
Fremont,043,Colorado,7.7
San Mateo,081,California,6.9
Santa Barbara,083,California,8
Santa Cruz,087,California,9.5
Solano,095,California,9.5
Sutter,101,California,11
Tehama,103,California,8.8
Tuolumne,109,California,10.4
Calaveras,009,California,7.6
Contra Costa,013,California,8.9
Del Norte,015,California,9.5
Heard,149,Georgia,6.5
Franklin,059,Kansas,5.4
Imperial,025,California,22.5
Kern,029,California,12.5
Kings,031,California,11.6
Madera,039,California,10.8
Cobb,067,Georgia,5.9
Coffee,069,Georgia,5.8
Columbia,073,Georgia,4.2
Coweta,077,Georgia,6.2
Crisp,081,Georgia,7.9
Decatur,087,Georgia,4.8
Dooly,093,Georgia,7.7
Dougherty,095,Georgia,8.6
Echols,101,Georgia,3.9
Effingham,103,Georgia,5
Evans,109,Georgia,5.1
Floyd,115,Georgia,6.3
Franklin,119,Georgia,5.9
Kiowa,061,Colorado,2.3
Kit Carson,063,Colorado,2.8
Larimer,069,Colorado,6.3
Nassau,089,Florida,5.7
Okaloosa,091,Florida,5.5
Osceola,097,Florida,13.5
Palm Beach,099,Florida,7.6
Pasco,101,Florida,7.2
Putnam,107,Florida,7.9
St. Johns,109,Florida,5.3
Santa Rosa,113,Florida,5.2
Sarasota,115,Florida,6.8
Seminole,117,Florida,7.2
Volusia,127,Florida,7.6
Walton,131,Florida,5.9
Atkinson,003,Georgia,3.9
Bacon,005,Georgia,4.9
Baldwin,009,Georgia,6.9
Bartow,015,Georgia,6.2
Bleckley,023,Georgia,6.5
Brantley,025,Georgia,5.4
Bulloch,031,Georgia,6.5
Calhoun,037,Georgia,5.1
Charlton,049,Georgia,3.8
Chattahoochee,053,Georgia,6.2
Cherokee,057,Georgia,4.9
Clayton,063,Georgia,10.3
Tolland,013,Connecticut,6.2
Sussex,005,Delaware,7.5
District of Columbia,001,District of Columbia,8
Baker,003,Florida,4.9
Bay,005,Florida,6.1
Broward,011,Florida,8.8
Charlotte,015,Florida,7.3
Lee,071,Florida,7.3
Madison,079,Florida,6
Manatee,081,Florida,6.8
Montrose,085,Colorado,6.6
Citrus,017,Florida,8.4
Dixie,029,Florida,5.5
Duval,031,Florida,6.7
Gilchrist,041,Florida,4.9
Glades,043,Florida,5.6
Gulf,045,Florida,5.9
Hardee,049,Florida,6.5
Hendry,051,Florida,8.1
Hernando,053,Florida,8.1
Indian River,061,Florida,7.4
Jackson,063,Florida,5.4
Lake,069,Florida,8.9
Logan,075,Colorado,4.7
Mesa,077,Colorado,7.5
Moffat,081,Colorado,6
Morgan,087,Colorado,5.4
Ouray,091,Colorado,8.1
Pitkin,097,Colorado,10.5
Rio Blanco,103,Colorado,5.4
Saguache,109,Colorado,7
Teller,119,Colorado,7.5
Washington,121,Colorado,3.1
Yuma,125,Colorado,2.8
Hartford,003,Connecticut,8.1
Middlesex,007,Connecticut,6.5
Carroll,015,Arkansas,5.7
Chicot,017,Arkansas,10.3
Cleveland,025,Arkansas,6.1
Columbia,027,Arkansas,6.8
Crawford,033,Arkansas,5.4
Faulkner,045,Arkansas,5.4
Franklin,047,Arkansas,5.6
Grant,053,Arkansas,5.2
Hot Spring,059,Arkansas,5.8
Jackson,067,Arkansas,7.1
Lafayette,073,Arkansas,7.6
Little River,081,Arkansas,6.4
Logan,083,Arkansas,6.6
Madison,087,Arkansas,3.9
Ada,001,Idaho,5.4
Adams,003,Idaho,9.3
Benewah,009,Idaho,7.5
Bonner,017,Idaho,7.5
Bonneville,019,Idaho,4
Marion,089,Arkansas,6.4
Miller,091,Arkansas,6.9
Mississippi,093,Arkansas,9
Nevada,099,Arkansas,5.9
Ouachita,103,Arkansas,6
Polk,113,Arkansas,6.6
Pope,115,Arkansas,5.9
Randolph,121,Arkansas,5.9
Sevier,133,Arkansas,5.8
Stone,137,Arkansas,7.1
Wilkes,317,Georgia,6.7
Worth,321,Georgia,5.4
Coconino,005,Arizona,9.7
Graham,009,Arizona,6.3
Greenlee,011,Arizona,5.5
La Paz,012,Arizona,7.1
Navajo,017,Arizona,10.1
Pinal,021,Arizona,7.5
Santa Cruz,023,Arizona,11.4
Yuma,027,Arizona,17.1
Ashley,003,Arkansas,9.3
Calhoun,013,Arkansas,5.2
Oneida,071,Idaho,4.2
Power,077,Idaho,4.1
Shoshone,079,Idaho,9.1
Twin Falls,083,Idaho,5.3
Alexander,003,Illinois,9.8
Boone,007,Illinois,11.2
Bureau,011,Illinois,7.6
Carroll,015,Illinois,7.2
Clark,023,Illinois,7.9
Crawford,033,Illinois,7
DeKalb,037,Illinois,8.2
Douglas,041,Illinois,5.6
DuPage,043,Illinois,7.9
Orange,117,Indiana,11.1
Parke,121,Indiana,5.5
Porter,127,Indiana,8.1
Randolph,135,Indiana,6.6
Ripley,137,Indiana,6.4
St. Joseph,141,Indiana,8.4
Starke,149,Indiana,8
Steuben,151,Indiana,6.2
Tipton,159,Indiana,6.1
Union,161,Indiana,5.5
Vigo,167,Indiana,7.9
Wabash,169,Indiana,6.1
Washington,175,Indiana,6.9
White,181,Indiana,5
Adair,001,Iowa,4
Edwards,047,Illinois,8.2
Fayette,051,Illinois,7.5
Ford,053,Illinois,6.4
Fulton,057,Illinois,8.6
Grundy,063,Illinois,8.8
Greene,055,Indiana,6.2
Hamilton,057,Indiana,4.7
Henry,065,Indiana,6.6
Howard,067,Indiana,10.9
Jackson,071,Indiana,7.2
Jefferson,077,Indiana,7.4
LaGrange,087,Indiana,6.4
LaPorte,091,Indiana,9.5
